CR_07890W_A	EFG1	C3_03800W_A	PTR22	Direct Negative
CR_07890W_A	EFG1	CR_02640W_A	RFG1	Direct Negative
CR_07890W_A	EFG1	C5_00700C_A	SPE2	Direct Negative
CR_07890W_A	EFG1	C7_04230W_A	NRG1	Direct Dual
CR_07890W_A	EFG1	C5_03730W_A	C5_03730W_A	Direct Positive
CR_07890W_A	EFG1	C3_01230C_A	C3_01230C_A	Direct Positive
CR_07890W_A	EFG1	C1_01490W_A	C1_01490W_A	Direct Positive
CR_07890W_A	EFG1	CR_03470W_A	CR_03470W_A	Direct Positive
CR_07890W_A	EFG1	C3_00360W_A	C3_00360W_A	Direct Positive
CR_07890W_A	EFG1	C1_14340C_A	RIM101	Direct Positive
CR_07890W_A	EFG1	C6_02710C_A	SAP6	Direct Dual
CR_07890W_A	EFG1	C5_04110W_A	SCW11	Direct Negative
CR_07890W_A	EFG1	CR_06440C_A	BCR1	Direct Negative
CR_07890W_A	EFG1	C3_07540C_A	C3_07540C_A	Direct Negative
CR_07890W_A	EFG1	C7_04210C_A	C7_04210C_A	Direct Positive
CR_07890W_A	EFG1	C6_00880W_A	PEX7	Direct Positive
CR_07890W_A	EFG1	C4_05780C_A	CFL2	Direct Positive
CR_07890W_A	EFG1	C4_04320W_A	FRE10	Direct Dual
CR_07890W_A	EFG1	CR_06140W_A	CR_06140W_A	Direct Positive
CR_07890W_A	EFG1	C1_04300C_A	SSA2	Direct
CR_07890W_A	EFG1	C2_06670C_A	DBF2	Direct
CR_07890W_A	EFG1	C3_01550C_A	TOS1	Direct
CR_07890W_A	EFG1	C2_10030C_A	MP65	Direct
CR_07890W_A	EFG1	C5_01100C_A	CLN3	Direct
CR_07890W_A	EFG1	CR_03260W_A	CR_03260W_A	Direct
CR_07890W_A	EFG1	C4_02750W_A	HIT1	Direct
CR_07890W_A	EFG1	C4_02720C_A	C4_02720C_A	Direct
CR_07890W_A	EFG1	CR_02750C_A	PGA34	Direct
CR_07890W_A	EFG1	CR_02850C_A	GZF3	Direct
CR_07890W_A	EFG1	C1_03080C_A	TEM1	Direct
CR_07890W_A	EFG1	C1_03220C_A	BMH1	Direct
CR_07890W_A	EFG1	CR_00910W_A	CR_00910W_A	Direct
CR_07890W_A	EFG1	C1_01690C_A	LSC1	Direct
CR_07890W_A	EFG1	C6_00740W_A	FAT1	Direct
CR_07890W_A	EFG1	C1_02110C_A	HGT2	Direct
CR_07890W_A	EFG1	C5_04590C_A	RPL43A	Direct
CR_07890W_A	EFG1	C5_01580C_A	CEF3	Direct
CR_07890W_A	EFG1	C4_00750C_A	C4_00750C_A	Direct
CR_07890W_A	EFG1	CR_03500W_A	CIT1	Direct Positive
CR_07890W_A	EFG1	C1_03870C_A	C1_03870C_A	Direct
CR_07890W_A	EFG1	C1_01950C_A	C1_01950C_A	Direct
CR_07890W_A	EFG1	CR_03890W_A	WOR3	Direct Negative
CR_07890W_A	EFG1	C4_01170C_A	BMT9	Direct
CR_07890W_A	EFG1	CR_03940W_A	CR_03940W_A	Direct
CR_07890W_A	EFG1	C1_10010C_A	SWE1	Direct
CR_07890W_A	EFG1	C1_10210C_A	CLA4	Direct
CR_07890W_A	EFG1	C1_13440C_A	OFI1	Direct
